N,MF_Exhaustive,MF_MTS
2,2.0,
3,4.5,
4,4.0,
5,6.25,6.25
5,6.25,6.25
5,6.25,6.25
5,6.25,6.25
5,6.25,6.25
5,6.25,6.25
5,6.25,6.25
5,6.25,6.25
5,6.25,6.25
5,6.25,6.25
6,2.571,
7,8.167,
8,4.0,
9,3.375,
10,3.846,3.8461538461538463
10,3.846,3.8461538461538463
10,3.846,3.8461538461538463
10,3.846,3.8461538461538463
10,3.846,3.8461538461538463
10,3.846,3.8461538461538463
10,3.846,3.8461538461538463
10,3.846,3.8461538461538463
10,3.846,3.8461538461538463
10,3.846,3.8461538461538463
11,12.1,
12,7.2,
13,14.083,
14,5.158,
15,7.5,7.5
15,7.5,7.5
15,7.5,7.5
15,7.5,7.5
15,7.5,7.5
15,7.5,7.5
15,7.5,7.5
15,7.5,7.5
15,7.5,7.5
15,7.5,7.5
16,5.333,
17,4.516,
18,6.48,
19,6.224,
20,7.692,7.6923076923076925
20,7.692,7.6923076923076925
20,7.692,7.6923076923076925
20,7.692,7.6923076923076925
20,7.692,7.6923076923076925
20,7.692,7.6923076923076925
20,7.692,7.6923076923076925
20,7.692,7.6923076923076925
20,7.692,7.6923076923076925
20,7.692,7.6923076923076925
21,8.481,
22,6.205,
23,5.628,
24,8.0,
25,8.681,8.680555555555555
25,8.681,8.680555555555555
25,8.681,8.680555555555555
25,8.681,8.680555555555555
25,8.681,8.680555555555555
25,8.681,8.680555555555555
25,8.681,8.680555555555555
25,8.681,7.1022727272727275
25,8.681,8.680555555555555
25,8.681,8.680555555555555
26,7.511,
27,9.851,
28,7.84,
29,6.782,
30,7.627,6.7164179104477615
30,7.627,6.0
30,7.627,6.7164179104477615
30,7.627,6.0
30,7.627,6.7164179104477615
30,7.627,6.7164179104477615
30,7.627,7.627118644067797
30,7.627,7.627118644067797
30,7.627,6.7164179104477615
30,7.627,7.627118644067797
31,7.172,
32,8.0,
33,8.508,
34,8.892,
35,8.39,6.064356435643564
35,8.39,8.39041095890411
35,8.39,7.205882352941177
35,8.39,6.586021505376344
35,8.39,7.561728395061729
35,8.39,6.882022471910112
35,8.39,6.314432989690721
35,8.39,6.586021505376344
35,8.39,6.064356435643564
35,8.39,6.882022471910112
36,7.902,
37,7.959,
38,8.299,
39,7.682,
40,7.407,5.882352941176471
40,7.407,5.882352941176471
40,7.407,6.0606060606060606
40,7.407,5.882352941176471
40,7.407,5.405405405405405
40,7.407,5.882352941176471
40,7.407,5.882352941176471
40,7.407,5.882352941176471
40,7.407,6.666666666666667
40,7.407,6.896551724137931
41,7.782,
42,8.733,
43,8.482,
44,7.934,
45,8.581,5.563186813186813
45,8.581,5.955882352941177
45,8.581,5.688202247191011
45,8.581,6.408227848101266
45,8.581,5.818965517241379
45,8.581,6.574675324675325
45,8.581,6.574675324675325
45,8.581,6.408227848101266
45,8.581,5.818965517241379
45,8.581,5.563186813186813
46,8.076,
47,8.181,
48,8.229,
49,8.827,
50,8.17,5.555555555555555
50,8.17,5.980861244019139
50,8.17,5.980861244019139
50,8.17,6.218905472636816
50,8.17,5.555555555555555
50,8.17,5.980861244019139
50,8.17,5.76036866359447
50,8.17,5.76036866359447
50,8.17,5.364806866952789
50,8.17,5.980861244019139
51,8.5,
52,8.145,
53,8.262,
54,8.331,
55,8.845,5.581180811808118
55,8.845,5.5
55,8.845,6.02589641434263
55,8.845,5.5
55,8.845,5.421146953405018
55,8.845,5.750950570342205
55,8.845,5.664794007490637
55,8.845,5.421146953405018
55,8.845,5.750950570342205
55,8.845,5.270034843205575
56,8.167,
57,8.641,
58,8.538,
59,8.49,
60,8.257,5.590062111801243
60,8.257,5.389221556886228
60,8.257,5.882352941176471
60,8.257,5.660377358490566
60,8.257,5.325443786982248
60,8.257,5.732484076433121
60,8.257,5.660377358490566
60,8.257,6.122448979591836
60,8.257,5.202312138728324
60,8.257,5.389221556886228
61,8.232,
62,8.179,
63,9.587,
64,9.846,
65,8.802,5.868055555555555
65,8.802,5.740489130434782
65,8.802,5.740489130434782
65,8.802,5.28125
65,8.802,5.334595959595959
65,8.802,5.28125
65,8.802,5.28125
65,8.802,5.501302083333333
65,8.802,5.389030612244898
65,8.802,5.334595959595959
66,8.475,5.32518337408313
66,8.475,5.777188328912467
66,8.475,5.32518337408313
66,8.475,5.777188328912467
66,8.475,5.32518337408313
66,8.475,5.541984732824427
66,8.475,5.541984732824427
66,8.475,5.32518337408313
66,8.475,5.541984732824427
66,8.475,5.43142144638404
67,9.313,
68,9.248,
69,8.688,
70,8.305,5.684454756380511
70,8.305,5.384615384615385
70,8.305,5.384615384615385
70,8.305,5.11482254697286
70,8.305,5.480984340044743
70,8.305,6.019656019656019
70,8.305,5.791962174940898
70,8.305,5.580865603644647
70,8.305,5.291576673866091
70,8.305,5.291576673866091
71,9.165,
72,8.64,
73,8.651,
74,8.029,
75,8.549,5.3982725527831095
75,8.549,5.237430167597766
75,8.549,5.525540275049116
75,8.549,5.276735459662289
75,8.549,5.61377245508982
75,8.549,5.99680170575693
75,8.549,5.3982725527831095
75,8.549,5.276735459662289
75,8.549,5.798969072164948
75,8.549,5.3982725527831095
76,8.647,
77,8.281,
78,8.767,
79,9.205,
80,9.091,5.2631578947368425
80,9.091,5.095541401273885
80,9.091,5.161290322580645
80,9.091,5.194805194805195
80,9.091,5.298013245033113
80,9.091,5.063291139240507
80,9.091,5.633802816901408
80,9.091,5.2631578947368425
80,9.091,5.298013245033113
80,9.091,5.2631578947368425
81,8.819,
82,8.918,5.3792
82,8.918,5.5205254515599345
82,8.918,5.669477234401349
82,8.918,5.244929797191888
82,8.918,4.99554234769688
82,8.918,5.117199391171994
82,8.918,5.180277349768875
82,8.918,5.3792
82,8.918,5.055639097744361
82,8.918,4.879535558780842
